cv_fold,estimator,PEHE,ATE_error,ATE_hat
1,DCorr,1.620003023,0.10606461,3.910002286
2,DCorr,1.561746132,0.000261651,4.050577109
3,DCorr,1.529088467,0.026899011,4.072264637
4,DCorr,1.466671948,0.038896527,4.042864121
5,DCorr,1.604970631,0.217530656,3.773018837
1,DLasso,1.583831748,0.097473511,3.918593385
2,DLasso,1.522220922,0.012296712,4.038542048
3,DLasso,1.55849624,0.027676934,4.071486714
4,DLasso,1.503627082,0.034926523,4.038894117
5,DLasso,1.557469331,0.225500317,3.765049177
1,DFShsic,1.622216612,0.107569783,3.908497113
2,DFShsic,1.571425129,0.003397773,4.054236533
3,DFShsic,1.531327077,0.028556412,4.070607236
4,DFShsic,1.479823486,0.036357195,4.040324789
5,DFShsic,1.601069949,0.219222962,3.771326531
1,DLassoshic,1.60487208,0.102505892,3.913561004
2,DLassoshic,1.595518161,0.000630559,4.050208201
3,DLassoshic,1.510068819,0.034613868,4.06454978
4,DLassoshic,1.471724636,0.02616858,4.030136174
5,DLassoshic,1.562197879,0.218166021,3.772383472
1,ForCD,1.635159668,0.101243218,3.914823678
2,ForCD,1.588975628,0.014894014,4.065732774
3,ForCD,1.545028365,0.033313694,4.065849954
4,ForCD,1.4901002,0.047568019,4.051535613
5,ForCD,1.636359288,0.221893897,3.768655596
1,DMrmr,1.582322485,0.105693384,3.910373512
2,DMrmr,1.574150727,0.009144366,4.041694394
3,DMrmr,1.489221942,0.02338471,4.075778938
4,DMrmr,1.449447894,0.040382386,4.044349981
5,DMrmr,1.545705992,0.216280594,3.774268899
1,BackCD,1.676346438,0.110588914,3.905477983
2,BackCD,1.666322865,0.015062556,4.035776204
3,BackCD,1.542152342,0.025710287,4.073453361
4,BackCD,1.554617801,0.032502604,4.036470198
5,BackCD,1.575125446,0.218486771,3.772062723
1,Ours,1.55748184,0.108060451,3.908006445
2,Ours,1.515841664,0.004582781,4.046255979
3,Ours,1.462614522,0.021178027,4.077985621
4,Ours,1.43181787,0.04478587,4.048753464
5,Ours,1.544548366,0.222258747,3.768290746
