cv_fold,estimator,PEHE,ATE_error,ATE_hat
1,DCorr,1.501525793,1.07104628,2.945020616
2,DCorr,0.923918597,0.405574503,3.645264257
3,DCorr,1.250667104,0.718316427,4.817480075
4,DCorr,1.405303858,1.087410432,2.916557162
5,DCorr,0.657668107,0.58248509,3.408064403
1,DLasso,1.553190359,1.231160993,2.784905904
2,DLasso,0.866787707,0.233694789,3.817143971
3,DLasso,1.158199375,0.609964746,4.709128394
4,DLasso,1.313533884,0.692602173,3.311365421
5,DLasso,0.711672464,0.619607768,3.370941725
1,DFShsic,0.91932286,0.10756156,3.908505336
2,DFShsic,1.084919859,0.042362443,4.008476317
3,DFShsic,0.965227658,0.221519247,4.320682895
4,DFShsic,0.91294733,0.200474976,3.803492618
5,DFShsic,0.592661353,0.086433303,3.90411619
1,DLassoshic,0.985174311,0.116895802,3.899171095
2,DLassoshic,0.851677619,0.053281757,3.997557003
3,DLassoshic,1.035854537,0.072058906,4.171222554
4,DLassoshic,1.17447667,0.215880488,3.788087106
5,DLassoshic,0.450170858,0.164979095,4.155528588
1,ForCD,1.180597005,0.107115286,3.90895161
2,ForCD,0.965262644,0.206727695,3.844111065
3,ForCD,1.2251372,0.553113753,3.546049895
4,ForCD,1.067594884,0.017700749,3.986266845
5,ForCD,0.854011003,0.675082816,3.315466678
1,DMrmr,0.931877013,0.116704308,3.899362588
2,DMrmr,1.118666468,0.137059385,4.187898145
3,DMrmr,0.981355214,0.266773048,4.365936696
4,DMrmr,0.925645435,0.223390715,3.780576879
5,DMrmr,0.611391021,0.073603485,4.064152978
1,BackCD,1.232664525,0.310407011,3.705659885
2,BackCD,0.968770811,0.192178242,3.858660518
3,BackCD,1.008352488,0.204468788,3.894694859
4,BackCD,1.018682586,0.059244391,3.944723203
5,BackCD,0.652198154,0.298210133,3.69233936
1,Ours,0.970112787,0.029895153,3.986171743
2,Ours,0.865615671,0.077885309,3.972953451
3,Ours,0.958636739,0.001542849,4.100706497
4,Ours,0.859465332,0.006907807,3.997059788
5,Ours,0.699448338,0.293978929,3.696570564
